source_transaction_index,transaction_date,transaction_season,transaction_team,transaction_team_id,transaction_notes,transaction_side,component_number,subasset_number,asset_type,draft_round,draft_years,pick_count,protection_text,source_team_text,rights_player_name,parse_confidence,needs_manual_review,known_at_transaction_text,record_season,record_basis,resolved_transaction_team_id,projected_pick_team_id,record_wins,record_losses,projected_draft_position,league_team_count,point_in_time_tier,assigned_zero_value
0,1976-11-16,1976-77,Lakers,1610612747.0,trade with Spurs,Acquired,1,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612747.0,1610612759.0,6.0,6.0,11.0,22,projected_lottery_first,False
1,1976-11-16,1976-77,Spurs,1610612759.0,trade with Lakers,Relinquished,1,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612759.0,1610612759.0,6.0,6.0,11.0,22,projected_lottery_first,False
4,1976-11-30,1976-77,Bulls,1610612741.0,trade with Nets,Acquired,1,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,current_record_at_transaction,1610612741.0,1610612751.0,8.0,11.0,6.0,22,projected_early_second,False
5,1976-11-30,1976-77,Nets,1610612751.0,trade with Bulls,Relinquished,1,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,current_record_at_transaction,1610612751.0,1610612751.0,8.0,11.0,6.0,22,projected_early_second,False
6,1976-12-08,1976-77,76ers,1610612755.0,trade with Bucks,Acquired,1,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,current_record_at_transaction,1610612755.0,1610612749.0,4.0,22.0,1.0,22,projected_early_second,False
6,1976-12-08,1976-77,76ers,1610612755.0,trade with Bucks,Acquired,2,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1976-77,current_record_at_transaction,1610612755.0,1610612749.0,4.0,22.0,1.0,22,projected_early_second,False
7,1976-12-08,1976-77,Bucks,1610612749.0,trade with 76ers,Relinquished,1,1,draft_pick,2.0,[1977],1,,,,high,False,1977 second round pick,1976-77,current_record_at_transaction,1610612749.0,1610612749.0,4.0,22.0,1.0,22,projected_early_second,False
7,1976-12-08,1976-77,Bucks,1610612749.0,trade with 76ers,Relinquished,2,1,draft_pick,2.0,[1978],1,,,,high,False,1978 second round pick,1976-77,current_record_at_transaction,1610612749.0,1610612749.0,4.0,22.0,1.0,22,projected_early_second,False
14,1977-01-07,1976-77,Nets,1610612751.0,trade with Rockets (date 01-10 per NBA Guide),Relinquished,1,1,draft_pick,4.0,[1978],1,,,,high,False,1978 fourth round pick,1976-77,current_record_at_transaction,1610612751.0,1610612751.0,12.0,24.0,3.0,22,zero_value_later_round,True
15,1977-01-07,1976-77,Rockets,1610612745.0,trade with Nets (date 01-10 per NBA Guide),Acquired,1,1,draft_pick,4.0,[1978],1,,,,high,False,1978 fourth round pick,1976-77,current_record_at_transaction,1610612745.0,1610612751.0,12.0,24.0,3.0,22,zero_value_later_round,True
16,1977-01-13,1976-77,Bucks,1610612749.0,trade with Cavaliers,Acquired,2,1,draft_pick,1.0,[1977],1,,,,high,False,1977 first round pick,1976-77,current_record_at_transaction,1610612749.0,1610612739.0,23.0,16.0,18.0,22,projected_late_first,False
16,1977-01-13,1976-77,Bucks,1610612749.0,trade with Cavaliers,Acquired,3,1,draft_pick,1.0,[1978],1,,,,high,False,1978 first round pick (#12-George Johnson (Lee)),1976-77,current_record_at_transaction,1610612749.0,1610612739.0,23.0,16.0,18.0,22,projected_late_first,False
