,Unnamed: 0,index,Date,Team,Acquired,Relinquished,Notes,page_url,Season,teamID,current_Wins,current_Losses,games_Played,remaining_Wins,remaining_Losses,date_Match,team_Match,record_Status
0,0,0,1976-11-16,Lakers,"1977 first round pick (#15-Brad Davis), cash",Mack Calvin,trade with Spurs,http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=1976-11-16&EndDate=2019-02-09&PlayerMovementChkBx=yes&Submit=Search,1976-77,1610612747,5,7,12,48,22,True,True,matched
1,1,1,1976-11-16,Spurs,Mack Calvin,"1977 first round pick (#15-Brad Davis), cash",trade with Lakers,http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=1976-11-16&EndDate=2019-02-09&PlayerMovementChkBx=yes&Submit=Search,1976-77,1610612759,6,6,12,38,32,True,True,matched
2,2,2,1976-11-18,Bulls,John Mengelt,cash,trade with Pistons,http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=1976-11-16&EndDate=2019-02-09&PlayerMovementChkBx=yes&Submit=Search,1976-77,1610612741,2,8,10,42,30,True,True,matched
3,3,3,1976-11-18,Pistons,cash,John Mengelt,trade with Bulls,http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=1976-11-16&EndDate=2019-02-09&PlayerMovementChkBx=yes&Submit=Search,1976-77,1610612765,9,6,15,35,32,True,True,matched
4,4,4,1976-11-30,Bulls,"1977 second round pick (#23-Mike Glenn), cash",Bob Love,trade with Nets,http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=1976-11-16&EndDate=2019-02-09&PlayerMovementChkBx=yes&Submit=Search,1976-77,1610612741,2,12,14,42,26,True,True,matched
5,5,5,1976-11-30,Nets,Bob Love,"1977 second round pick (#23-Mike Glenn), cash",trade with Bulls,http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=1976-11-16&EndDate=2019-02-09&PlayerMovementChkBx=yes&Submit=Search,1976-77,1610612751,8,11,19,14,49,True,True,matched
6,6,6,1976-12-08,76ers,"1977 second round pick (#25-Wilson Washington), 1978 second round pick (#36-Maurice Cheeks)",Fred Carter,trade with Bucks,http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=1976-11-16&EndDate=2019-02-09&PlayerMovementChkBx=yes&Submit=Search&start=25,1976-77,1610612755,12,9,21,38,23,True,True,matched
7,7,7,1976-12-08,Bucks,Fred Carter,"1977 second round pick (#25-Wilson Washington), 1978 second round pick (#36-Maurice Cheeks)",trade with 76ers,http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=1976-11-16&EndDate=2019-02-09&PlayerMovementChkBx=yes&Submit=Search&start=25,1976-77,1610612749,4,22,26,26,30,True,True,matched
8,8,8,1976-12-09,Braves,"John Gianelli, cash","Bob McAdoo, Tom McMillen",trade with Knicks,http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=1976-11-16&EndDate=2019-02-09&PlayerMovementChkBx=yes&Submit=Search&start=25,1976-77,1610612746,10,14,24,20,38,True,True,matched
9,9,9,1976-12-09,Knicks,"Bob McAdoo, Tom McMillen","John Gianelli, cash",trade with Braves,http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=1976-11-16&EndDate=2019-02-09&PlayerMovementChkBx=yes&Submit=Search&start=25,1976-77,1610612752,11,13,24,29,29,True,True,matched
